,day,count
0,20120101,17
1,20120102,22
2,20120103,42
3,20120104,27
4,20120105,22
5,20120106,34
6,20120107,21
7,20120108,29
8,20120109,21
9,20120110,30
10,20120111,28
11,20120112,24
12,20120113,18
13,20120114,14
14,20120115,20
15,20120116,24
16,20120117,22
17,20120118,22
18,20120119,25
19,20120120,32
20,20120121,31
21,20120122,16
22,20120123,21
23,20120124,25
24,20120125,14
25,20120126,27
26,20120127,16
27,20120128,21
28,20120129,19
29,20120130,20
30,20120131,22
31,20120201,18
32,20120202,20
33,20120203,15
34,20120204,19
35,20120205,16
36,20120206,11
37,20120207,25
38,20120208,15
39,20120209,17
40,20120210,21
41,20120211,20
42,20120212,15
43,20120213,13
44,20120214,16
45,20120215,16
46,20120216,17
47,20120217,17
48,20120218,5
49,20120219,23
50,20120220,11
51,20120221,29
52,20120222,8
53,20120223,49
54,20120224,17
55,20120225,23
56,20120226,26
57,20120227,18
58,20120228,31
59,20120229,25
60,20120301,30
61,20120302,19
62,20120303,27
63,20120304,22
64,20120305,24
65,20120306,24
66,20120307,40
67,20120308,13
68,20120309,21
69,20120310,15
70,20120311,23
71,20120312,13
72,20120313,25
73,20120314,20
74,20120315,20
75,20120316,15
76,20120317,25
77,20120318,25
78,20120319,16
79,20120320,35
80,20120321,31
81,20120322,18
82,20120323,21
83,20120324,20
84,20120325,17
85,20120326,12
86,20120327,10
87,20120328,14
88,20120329,11
89,20120330,20
90,20120331,29
91,20120401,16
92,20120402,24
93,20120403,21
94,20120404,36
95,20120405,24
96,20120406,20
97,20120407,17
98,20120408,13
99,20120409,24
100,20120410,11
101,20120411,17
102,20120412,26
103,20120413,20
104,20120414,35
105,20120415,46
106,20120416,16
107,20120417,19
108,20120418,21
109,20120419,58
110,20120420,10
111,20120421,22
112,20120422,22
113,20120423,12
114,20120424,28
115,20120425,28
116,20120426,31
117,20120427,31
118,20120428,20
119,20120429,23
120,20120430,32
121,20120501,16
122,20120502,48
123,20120503,26
124,20120504,28
125,20120505,25
126,20120506,16
127,20120507,20
128,20120508,31
129,20120509,23
130,20120510,25
131,20120511,54
132,20120512,19
133,20120513,40
134,20120514,46
135,20120515,26
136,20120516,32
137,20120517,28
138,20120518,25
139,20120519,23
140,20120520,22
141,20120521,27
142,20120522,30
143,20120523,29
144,20120524,21
145,20120525,20
146,20120526,21
147,20120527,23
148,20120528,27
149,20120529,29
150,20120530,16
151,20120531,27
152,20120601,24
153,20120602,24
154,20120603,19
155,20120604,22
156,20120605,35
157,20120606,33
158,20120607,34
159,20120608,38
160,20120609,24
161,20120610,19
162,20120611,38
163,20120612,25
164,20120613,43
165,20120614,26
166,20120615,23
167,20120616,18
168,20120617,23
169,20120618,23
170,20120619,29
171,20120620,16
172,20120621,18
173,20120622,29
174,20120623,22
175,20120624,15
176,20120625,18
177,20120626,24
178,20120627,21
179,20120628,39
180,20120629,30
181,20120630,19
182,20120701,24
183,20120702,21
184,20120703,28
185,20120704,27
186,20120705,16
187,20120706,19
188,20120707,30
189,20120708,31
190,20120709,24
191,20120710,17
192,20120711,21
193,20120712,11
194,20120713,23
195,20120714,19
196,20120715,21
197,20120716,28
198,20120717,21
199,20120718,20
200,20120719,26
201,20120720,25
202,20120721,21
203,20120722,33
204,20120723,63
205,20120724,24
206,20120725,22
207,20120726,11
208,20120727,19
209,20120728,17
210,20120729,32
211,20120730,18
212,20120731,31
213,20120801,42
214,20120802,32
215,20120803,31
216,20120804,20
217,20120805,40
218,20120806,27
219,20120807,36
220,20120808,28
221,20120809,32
222,20120810,24
223,20120811,27
224,20120812,29
225,20120813,35
226,20120814,29
227,20120815,55
228,20120816,40
229,20120817,23
230,20120818,15
231,20120819,20
232,20120820,19
233,20120821,20
234,20120822,12
235,20120823,10
236,20120824,19
237,20120825,24
238,20120826,21
239,20120827,24
240,20120828,23
241,20120829,24
242,20120830,19
243,20120831,15
244,20120901,20
245,20120902,23
246,20120903,21
247,20120904,21
248,20120905,42
249,20120906,16
250,20120907,23
251,20120908,23
252,20120909,50
253,20120910,29
254,20120911,22
255,20120912,11
256,20120913,17
257,20120914,15
258,20120915,10
259,20120916,20
260,20120917,12
261,20120918,21
262,20120919,22
263,20120920,19
264,20120921,18
265,20120922,20
266,20120923,19
267,20120924,18
268,20120925,22
269,20120926,20
270,20120927,19
271,20120928,16
272,20120929,24
273,20120930,32
274,20121001,29
275,20121002,24
276,20121003,31
277,20121004,18
278,20121005,11
279,20121006,25
280,20121007,14
281,20121008,31
282,20121009,61
283,20121010,18
284,20121011,25
285,20121012,22
286,20121013,18
287,20121014,30
288,20121015,37
289,20121016,18
290,20121017,21
291,20121018,22
292,20121019,29
293,20121020,34
294,20121021,20
295,20121022,25
296,20121023,27
297,20121024,26
298,20121025,18
299,20121026,24
300,20121027,38
301,20121028,26
302,20121029,19
303,20121030,18
304,20121031,19
305,20121101,17
306,20121102,15
307,20121103,25
308,20121104,22
309,20121105,32
310,20121106,23
311,20121107,36
312,20121108,24
313,20121109,22
314,20121110,22
315,20121111,28
316,20121112,20
317,20121113,12
318,20121114,27
319,20121115,19
320,20121116,21
321,20121117,21
322,20121118,32
323,20121119,23
324,20121120,30
325,20121121,27
326,20121122,25
327,20121123,16
328,20121124,16
329,20121125,15
330,20121126,18
331,20121127,33
332,20121128,26
333,20121129,26
334,20121130,14
335,19990100,1
336,19990101,2
337,19990102,2
338,19990103,2
339,19990104,3
340,19990105,7
341,19990106,3
342,19990108,5
343,19990110,1
344,19990111,3
345,19990112,5
346,19990113,1
347,19990114,2
348,19990115,2
349,19990117,2
350,19990119,2
351,19990120,1
352,19990121,1
353,19990123,7
354,19990124,1
355,19990125,4
356,19990126,1
357,19990128,2
358,19990129,1
359,19990130,1
360,19990131,1
361,20121201,9
362,20121202,30
363,20121203,26
364,20121204,24
365,20121205,14
366,20121206,19
367,20121209,14
368,20121210,20
369,20121211,13
370,20121212,20
371,20121207,13
372,20121208,42
373,20121213,15
374,20121214,14
375,20121218,15
376,20121219,18
377,20121220,9
378,20121221,19
379,20121222,18
380,20121223,11
381,20121215,14
382,20121216,19
383,20121217,38
384,20121224,11
385,20121228,15
386,20121229,10
387,20121225,12
388,20121231,37
389,20121226,19
390,20121227,20
391,20121230,21
392,19990201,1
393,19990202,3
394,19990203,1
395,19990204,1
396,19990206,1
397,19990208,3
398,19990209,3
399,19990210,2
400,19990211,3
401,19990213,2
402,19990214,3
403,19990216,9
404,19990217,5
405,19990218,2
406,19990219,2
407,19990220,3
408,19990223,4
409,19990224,4
410,19990225,1
411,19990226,2
412,19990228,6
413,19990301,5
414,19990302,4
415,19990303,8
416,19990304,2
417,19990305,5
418,19990306,7
419,19990307,6
420,19990308,8
421,19990309,10
422,19990310,8
423,19990311,3
424,19990312,5
425,19990313,8
426,19990314,8
427,19990315,7
428,19990316,3
429,19990317,4
430,19990318,8
431,19990319,11
432,19990320,9
433,19990321,7
434,19990322,4
435,19990323,6
436,19990324,4
437,19990326,4
438,19990327,6
439,19990328,10
440,19990329,5
441,19990330,2
442,19990331,7
443,19990401,5
444,19990402,6
445,19990403,5
446,19990404,2
447,19990405,4
448,19990406,1
449,19990407,5
450,19990408,2
451,19990409,5
452,19990410,5
453,19990411,4
454,19990412,2
455,19990413,1
456,19990414,1
457,19990415,7
458,19990416,2
459,19990417,2
460,19990418,2
461,19990419,1
462,19990420,5
463,19990421,4
464,19990423,1
465,19990424,3
466,19990426,4
467,19990427,4
468,19990428,2
469,19990429,1
470,19990430,2
471,19990500,1
472,19990501,4
473,19990502,1
474,19990503,8
475,19990504,4
476,19990505,4
477,19990506,3
478,19990507,6
479,19990508,1
480,19990509,4
481,19990510,3
482,19990511,2
483,19990512,3
484,19990513,6
485,19990515,5
486,19990516,7
487,19990518,6
488,19990519,1
489,19990520,4
490,19990521,2
491,19990524,1
492,19990525,1
493,19990526,1
494,19990528,4
495,19990529,1
496,19990530,9
497,19990531,2
498,19990600,2
499,19990601,7
500,19990602,5
501,19990603,9
502,19990604,4
503,19990605,5
504,19990606,11
505,19990607,5
506,19990608,3
507,19990609,5
508,19990610,10
509,19990611,3
510,19990612,9
511,19990613,7
512,19990614,6
513,19990615,12
514,19990616,5
515,19990617,6
516,19990618,7
517,19990619,5
518,19990620,7
519,19990621,1
520,19990622,7
521,19990623,6
522,19990624,6
523,19990625,4
524,19990626,3
525,19990627,5
526,19990628,7
527,19990629,4
528,19990630,7
529,19990701,8
530,19990702,7
531,19990703,8
532,19990704,5
533,19990705,6
534,19990706,2
535,19990707,6
536,19990708,9
537,19990709,8
538,19990710,2
539,19990711,4
540,19990712,3
541,19990713,6
542,19990714,7
543,19990715,3
544,19990716,2
545,19990717,7
546,19990718,3
547,19990719,10
548,19990720,6
549,19990721,4
550,19990722,6
551,19990723,5
552,19990724,5
553,19990725,5
554,19990726,2
555,19990727,3
556,19990728,3
557,19990729,8
558,19990730,4
559,19990731,1
560,19990800,2
561,19990801,2
562,19990802,4
563,19990803,3
564,19990804,7
565,19990805,6
566,19990806,4
567,19990807,6
568,19990808,1
569,19990809,5
570,19990810,3
571,19990811,5
572,19990812,1
573,19990813,2
574,19990814,11
575,19990815,4
576,19990816,6
577,19990817,7
578,19990818,1
579,19990820,5
580,19990821,3
581,19990822,4
582,19990823,4
583,19990824,1
584,19990827,8
585,19990828,4
586,19990830,1
587,19990831,3
588,19990900,2
589,19990901,2
590,19990902,4
591,19990904,5
592,19990905,4
593,19990906,4
594,19990907,2
595,19990908,1
596,19990909,2
597,19990910,3
598,19990912,1
599,19990913,3
600,19990915,3
601,19990916,5
602,19990917,3
603,19990918,6
604,19990919,2
605,19990920,1
606,19990921,2
607,19990922,1
608,19990923,3
609,19990924,2
610,19990925,3
611,19990926,4
612,19990927,3
613,19990928,6
614,19990929,2
615,19991001,9
616,19991002,17
617,19991003,7
618,19991004,6
619,19991005,3
620,19991006,14
621,19991007,3
622,19991008,6
623,19991009,5
624,19991010,5
625,19991011,3
626,19991012,8
627,19991013,2
628,19991014,5
629,19991015,1
630,19991016,6
631,19991017,8
632,19991018,5
633,19991019,1
634,19991020,3
635,19991021,4
636,19991022,3
637,19991023,6
638,19991024,3
639,19991025,9
640,19991026,7
641,19991027,7
642,19991028,3
643,19991029,1
644,19991030,3
645,19991031,2
646,19991100,2
647,19991101,5
648,19991102,2
649,19991103,5
650,19991104,8
651,19991105,9
652,19991106,5
653,19991107,8
654,19991108,1
655,19991109,6
656,19991110,4
657,19991111,7
658,19991112,9
659,19991113,10
660,19991114,8
661,19991115,1
662,19991116,1
663,19991117,3
664,19991118,2
665,19991119,4
666,19991120,3
667,19991121,2
668,19991122,3
669,19991123,5
670,19991124,2
671,19991125,9
672,19991126,2
673,19991127,4
674,19991128,5
675,19991129,5
676,19991130,2
677,19991202,1
678,19991203,1
679,19991204,1
680,19991206,7
681,19991207,1
682,19991208,2
683,19991209,2
684,19991210,1
685,19991211,1
686,19991212,3
687,19991213,2
688,19991214,2
689,19991215,3
690,19991216,1
691,19991217,5
692,19991218,4
693,19991219,3
694,19991220,2
695,19991222,2
696,19991223,1
697,19991224,7
698,19991225,2
699,19991227,2
700,19991228,1
701,19991229,2
702,19991230,2
703,19991231,3
704,20090101,18
705,20090102,12
706,20090103,14
707,20090104,20
708,20090105,20
709,20090106,14
710,20090107,19
711,20090108,10
712,20090109,18
713,20090110,13
714,20090111,11
715,20090112,14
716,20090113,9
717,20090114,12
718,20090115,9
719,20090116,21
720,20090117,16
721,20090118,13
722,20090119,10
723,20090120,9
724,20090121,10
725,20090122,10
726,20090123,7
727,20090124,13
728,20090125,9
729,20090126,15
730,20090127,21
731,20090128,6
732,20090129,9
733,20090130,7
734,20090131,14
735,20090201,8
736,20090202,9
737,20090203,17
738,20090204,15
739,20090205,11
740,20090206,9
741,20090207,7
742,20090208,8
743,20090209,17
744,20090210,7
745,20090211,26
746,20090212,23
747,20090213,14
748,20090214,8
749,20090215,16
750,20090216,16
751,20090217,19
752,20090218,14
753,20090219,16
754,20090220,8
755,20090221,7
756,20090222,14
757,20090223,12
758,20090224,7
759,20090225,5
760,20090226,11
761,20090227,6
762,20090228,9
763,20090301,6
764,20090302,10
765,20090303,14
766,20090304,18
767,20090305,9
768,20090306,9
769,20090307,11
770,20090308,9
771,20090309,14
772,20090310,11
773,20090311,11
774,20090312,11
775,20090313,9
776,20090314,14
777,20090315,19
778,20090316,15
779,20090317,12
780,20090318,20
781,20090319,13
782,20090320,6
783,20090321,4
784,20090322,12
